id,LEI,Entity.LegalName,Entity.LegalName.xmllang,Entity.OtherEntityNames.OtherEntityName.1,Entity.LegalAddress.Region,Entity.LegalAddress.Country,Entity.LegalAddress.PostalCode,Entity.HeadquartersAddress.Region,Entity.HeadquartersAddress.Country,Entity.HeadquartersAddress.PostalCode,Entity.RegistrationAuthority.RegistrationAuthorityID,Entity.RegistrationAuthority.OtherRegistrationAuthorityID,Entity.RegistrationAuthority.RegistrationAuthorityEntityID,Entity.LegalJurisdiction,Entity.EntityStatus,Registration.RegistrationStatus,Registration.NextRenewalDate,Registration.ValidationSources,Registration.ValidationAuthority.ValidationAuthorityID,Registration.ValidationAuthority.ValidationAuthorityEntityID
20,549300PMBZI0G7NB2E63,ITAÚ ALLOCATION FUND SPC - Itaú Draco Fund Segregated Portfolio,,,,KY,KY1-9007,,KY,KY1-9007,RA999999,,,KY,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
21,5493005RTD1OOU06YL51,BIG RIVER OIL COMPANY,,,US-MO,US,63401,US-MO,US,63401,RA000618,,162968,US-MO,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,FULLY_CORROBORATED,RA000618,162968
22,549300DSVM2TCDHENM97,PGIM Fixed Income Alternatives Master Fund ICAV - Credit Opportunities Fund,,,IE-D,IE,D01 P2V6,IE-D,IE,D01 P2V6,RA000404,,C439828,IE,ACTIVE,ISSUED,2021-10-01T00:18:00+00:00,PARTIALLY_CORROBORATED,RA000404,C439828
23,549300EYRJH1I1W3M390,YEELD,,,FR-54,FR,54840,FR-54,FR,54840,RA000192,,793 794 165,FR,ACTIVE,ISSUED,2021-10-07T10:18:00+00:00,FULLY_CORROBORATED,RA000192,793 794 165
24,549300EPWAZWPXAI4M66,The Cronk Trust,,,,VG,VG 1110,,IM,IM1 2PT,RA999999,,,VG,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
25,5493001NCJH7CYMM3O06,J.E.B HOLDING AS,,,NO-02,NO,1481,NO-02,NO,1481,RA000472,,918720162,NO,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000472,918720162
26,5493002SYDNNE1WWY111,VINTAGE VIII EMPLOYEE LP,,,US-DE,US,19808,US-NY,US,10282,RA000602,,3554836,US-DE,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000602,3554836
27,549300MOSDFV71YVQX28,Hassø & Elmer Holding ApS,,,DK-83,DK,7100,DK-83,DK,7100,RA000170,,40739785,DK,ACTIVE,ISSUED,2021-10-09T10:17:00+00:00,FULLY_CORROBORATED,RA000170,40739785
28,549300IERZ0WMPWAXH31,Victoria Immo Properties VII S.à r.l.,,,LU-LU,LU,L-1946,LU-LU,LU,L-1946,RA000432,,B242764,LU,ACTIVE,ISSUED,2021-08-26T10:17:00+00:00,FULLY_CORROBORATED,RA000432,B242764
29,549300XWP2K6CRHQRG38,"BOISE LOGISTICS CENTER VENTURE, LLC",,,US-DE,US,19901,US-CA,US,95652,RA000602,,3746112,US-DE,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000602,3746112
30,549300CHIB57Y0AGML83,"JP OIL PRODUCTION, LLC",,,US-DE,US,19808,US-LA,US,70508,RA000602,,3684176,US-DE,ACTIVE,ISSUED,2021-10-02T00:19:00+00:00,FULLY_CORROBORATED,RA000602,3684176
31,549300LJDPLZJDBZ6N80,SALVIA INVESTMENT PTE. LTD.,,,,SG,48544,,SG,49909,RA000523,,202012290D,SG,ACTIVE,ISSUED,2021-10-06T00:17:00+00:00,FULLY_CORROBORATED,RA000523,202012290D
32,549300T0VB195JJJQU16,OAKHILL HOLDING AS,,,NO-08,NO,3772,NO-08,NO,3772,RA000472,,991367462,NO,ACTIVE,ISSUED,2021-10-09T10:17:00+00:00,FULLY_CORROBORATED,RA000472,991367462
33,549300YPK8K5SCTK8930,"VALPARAISO INVESTMENTS, LLC",,,US-DE,US,19808,US-NY,US,10065,RA000602,,5873393,US-DE,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000602,5873393
34,549300526ZNICWMQU778,SENIOR CREDIT (UWF) SPV LLC,,,US-DE,US,19808,US-NY,US,10282,RA000602,,3622782,US-DE,ACTIVE,ISSUED,2021-10-06T00:20:00+00:00,FULLY_CORROBORATED,RA000602,3622782
35,549300DNP7T686PE5851,"CURTISS ORCHARDS, INC.",,,US-OR,US,97058,US-OR,US,97058,RA000631,,669159-85,US-OR,ACTIVE,ISSUED,2021-10-07T00:20:00+00:00,FULLY_CORROBORATED,RA000631,669159-85
36,5493007VOYGZ8WUMGZ76,ALIAXIS NORTH AMERICA INC.,,,CA-NB,CA,E2L 5B2,CA-QC,CA,H3E 1H7,RA000076,,638109,CA,ACTIVE,ISSUED,2021-10-07T00:20:00+00:00,FULLY_CORROBORATED,RA000076,638109
37,5493006SL77JLY2JVO31,Storängen handel AB,,,SE-O,SE,442 60,SE-O,SE,442 60,RA000544,,5566993134,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5566993134
38,5493002BXT4DLBJLMF17,PROGRESSI AS,,,NO-02,NO,2019,NO-02,NO,2019,RA000472,,917237271,NO,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000472,917237271
39,5493008KCUP4E8Q0UK91,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Tactical Buffer ETF,,,US-MA,US,2110,US-IL,US,60187,RA000665,,S000070088,US-MA,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000665,S000070088
40,549300DSYEPG9UHI9I63,LASERTHINGS PTY LTD,,,AU-VIC,AU,3195,AU-VIC,AU,3195,RA000014,,621 893 301,AU,ACTIVE,ISSUED,2021-10-08T10:17:00+00:00,FULLY_CORROBORATED,RA000014,621 893 301
41,549300XL8CEXPJ8IO754,"COLONIAL WHOLESALE DISTRIBUTING, INC.",,"COLONIAL GROCERS, INC.",US-FL,US,33610,US-FL,US,33610,RA000603,,P98000071892,US-FL,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000603,P98000071892
42,549300MWLHX6F1794K68,FIRST TRUST EXCHANGE-TRADED FUND - FT Cboe Vest Gold Buffer ETF,,,US-MA,US,2110,US-IL,US,60187,RA000665,,S000070086,US-MA,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,FULLY_CORROBORATED,RA000665,S000070086
43,549300T5J1GTM5HA7469,Regia Ltd,,,,KY,KY1-9008,,KY,KY1-9008,RA000086,,WC-329058,KY,ACTIVE,ISSUED,2021-09-04T00:18:00+00:00,PARTIALLY_CORROBORATED,RA000086,WC-329058
44,5493004ENAWWJSN9Y395,FK A Investment Holdings Limited,,,,VG,VG1110,,VG,VG1110,RA000063,,2045103,VG,ACTIVE,ISSUED,2021-10-05T10:18:00+00:00,PARTIALLY_CORROBORATED,RA000063,2045103
45,5493002N1SC2N0HCQG44,RAGLAN CAPITAL LIMITED,,,,BM,HM 11,,BM,HM 11,RA000028,,34847,BM,ACTIVE,ISSUED,2021-10-03T00:17:00+00:00,FULLY_CORROBORATED,RA000028,34847
46,5493006IPJUNQH57DP74,VALINOR AS,,NORSK VIND AS,NO-11,NO,4021,NO-11,NO,4021,RA000472,,977362237,NO,ACTIVE,ISSUED,2021-10-09T10:17:00+00:00,FULLY_CORROBORATED,RA000472,977362237
47,5493002G8B5BEYUMTY56,"VANTAGGIO AF PARKVIEW TOWNS, LLC",,,US-UT,US,84111,US-UT,US,84117,RA000638,,11366746-0160,US-UT,ACTIVE,ISSUED,2021-10-07T22:52:00+00:00,FULLY_CORROBORATED,RA000638,11366746-0160
48,549300JWI56Y2BO3PF17,ARDIAN Entrepreneurs & Croissance 2020,,,FR-75,FR,75001,FR-75,FR,75001,RA000190,,FCI20200006,FR,ACTIVE,ISSUED,2021-09-30T00:20:00+00:00,PARTIALLY_CORROBORATED,RA000190,FCI20200006
49,549300LXVI5TJ2HFLE75,Riscient Founders Master Fund LP,,,,KY,KY1-1001,US-NY,US,10019,RA000086,,CO-106278,KY,ACTIVE,ISSUED,2021-10-08T20:24:00+00:00,PARTIALLY_CORROBORATED,RA000086,CO-106278
50,549300M244SEI1G0YF84,"FT SOF XIII (SPAC) HOLDINGS, LLC",,,US-DE,US,19808,US-NY,US,10036,RA000602,,7857631,US-DE,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000602,7857631
51,5493003S8Z65BMQYYD60,New Mountain Partners VI Access Offshore SCSp,,,LU-LU,LU,L-1855,US-NY,US,10282,RA000432,,B246536,LU,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000432,B246536
52,54930010E744J08WOS72,TE Karlsson Invest AB,,,SE-D,SE,611 99,SE-D,SE,611 99,RA000544,,5592105927,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5592105927
53,549300H9MNF0ZMX8Z037,HM A Global Holdings Limited,,,,VG,VG1110,,VG,VG1110,RA000063,,2045098,VG,ACTIVE,ISSUED,2021-10-05T10:19:00+00:00,PARTIALLY_CORROBORATED,RA000063,2045098
54,549300F2Q1BCQYLLSJ38,"LORD PROPERTIES III, LLC",,,US-FL,US,33309,US-FL,US,33309,RA000603,,L18000037876,US-FL,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000603,L18000037876
55,549300W05INZFV4VMG37,PARK STREET LLC,,,US-VA,US,22180-4653,US-VA,US,22180-4653,RA000639,,S0153827,US-VA,ACTIVE,ISSUED,2021-10-06T00:21:00+00:00,FULLY_CORROBORATED,RA000639,S0153827
56,5493008VMDAN1I2F2D21,"HPIII LEHIGH VALLEY 3100, LLC",,,US-DE,US,19709,US-WI,US,53202,RA000602,,7970452,US-DE,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,FULLY_CORROBORATED,RA000602,7970452
57,5493002TD7JTWGJ5HK31,PLUS ULTRA AS,,,NO-11,NO,4319,NO-11,NO,4319,RA000472,,925058467,NO,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000472,925058467
58,549300XBSGF0BCEFEU26,"SBMT MCKINNEY, LLC",,,US-TX,US,78731,US-CA,US,90025,RA000637,,802106152,US-TX,ACTIVE,ISSUED,2021-10-07T23:54:00+00:00,FULLY_CORROBORATED,RA000637,802106152
59,549300BDKI26YHJWV021,VICINITY APARTMENTS LLC,,,US-DE,US,19904,US-MN,US,55415,RA000602,,6748336,US-DE,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000602,6748336
60,549300WT1X09OXYUTZ94,LUSTER RØDE KORS,,,NO-14,NO,6868,NO-14,NO,6868,RA000472,,984300425,NO,ACTIVE,ISSUED,2021-10-08T10:16:00+00:00,FULLY_CORROBORATED,RA000472,984300425
61,549300LXXETMSIRBHD42,HEAD4MORE INTERNATIONAL AS,,,NO-03,NO,275,NO-03,NO,275,RA000472,,997849426,NO,ACTIVE,ISSUED,2021-10-09T10:17:00+00:00,FULLY_CORROBORATED,RA000472,997849426
62,549300BL3XQB5XXIJL42,SCHRODER REAL ESTATE FUND OF FUNDS - CONTINENTAL EUROPEAN FUND I,,,LU-LU,LU,L-1736,LU-LU,LU,L-1736,RA999999,,,LU,ACTIVE,ISSUED,2021-09-25T00:19:00+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
63,549300L4A4D31EX02C81,HERLE COMPANY INVEST & TRADE LTD.,,,,BS,,,BS,,RA000020,,204483 B,BS,ACTIVE,ISSUED,2021-10-01T00:18:00+00:00,PARTIALLY_CORROBORATED,RA000020,204483 B
64,549300UCOXLQBJIZ3306,Krane Shares Trust - KFA Value Line(R) Dynamic Core Equity Index ETF,,,US-DE,US,19808,US-NY,US,10017,RA000665,,S000069664,US-DE,ACTIVE,ISSUED,2021-10-08T00:18:00+00:00,FULLY_CORROBORATED,RA000665,S000069664
65,549300J9EVHIF5PYNR98,Westpac Wholesale International Share No.2 Trust,,,NZ-AUK,NZ,1010,NZ-AUK,NZ,1010,RA999999,,,NZ,ACTIVE,ISSUED,2021-10-02T00:17:00+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
66,549300QIRAVGBD5YE263,ASSEMBLIES OF GOD FINANCIAL SERVICES GROUP,,,US-MO,US,65807,US-MO,US,65807,RA000618,,N00059762,US-MO,ACTIVE,ISSUED,2021-10-08T00:20:00+00:00,FULLY_CORROBORATED,RA000618,N00059762
67,5493002W8W9Z86NLUI15,NESTE ASIA PACIFIC PTE. LTD.,,,,SG,68913,FI-18,FI,2150,RA000523,,202007550Z,SG,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000523,202007550Z
68,549300T0SXXJBIRQQ753,DORNIER MEDTECH INDIA PRIVATE LIMITED,,,IN-KA,IN,560027,IN-KA,IN,560027,RA000394,,U85300KA2020FTC138157,IN,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000394,U85300KA2020FTC138157
69,549300CI4SL5MYN5L473,PIF INVESTMENTS VII LLC,,,US-DE,US,19808,US-CA,US,92660,RA000602,,3666013,US-DE,ACTIVE,ISSUED,2021-10-09T00:17:00+00:00,FULLY_CORROBORATED,RA000602,3666013
70,549300GIFHVI4FCX0229,MOORDALE FOODS LIMITED,,,GB-ERY,GB,HU15 2TS,GB-ERY,GB,HU15 2TS,RA000585,,9506166,GB,ACTIVE,ISSUED,2021-10-07T00:18:00+00:00,FULLY_CORROBORATED,RA000585,9506166
71,549300XNCYILCQ95WS24,Anders Wehtje Invest Aktiebolag,,,SE-M,SE,239 40,SE-M,SE,239 40,RA000544,,5566852645,SE,ACTIVE,ISSUED,2021-10-09T10:16:00+00:00,FULLY_CORROBORATED,RA000544,5566852645
72,549300QS01H3Y9EI8155,CARBON SOLUTIONS FUND LP,,,US-DE,US,19808,US-NY,US,10282,RA000602,,3661635,US-DE,ACTIVE,ISSUED,2021-10-08T00:19:00+00:00,FULLY_CORROBORATED,RA000602,3661635
73,549300CPIEMKMP5TEB26,"SMB PROPERTIES, LLC",,,US-WA,US,98402,US-WA,US,98390,RA000641,,603 447 716,US-WA,ACTIVE,ISSUED,2021-10-09T00:18:00+00:00,FULLY_CORROBORATED,RA000641,603 447 716
74,549300PMMLWXQAJPJ798,VENTUS HOLDING AS,,,NO-03,NO,278,NO-03,NO,278,RA000472,,914249465,NO,ACTIVE,ISSUED,2021-10-07T00:19:00+00:00,FULLY_CORROBORATED,RA000472,914249465
75,2549000KGC2JAALJ6683,Cidel Relative Value Fund,,,CA-ON,CA,M4W 3B8,CA-ON,CA,M4W 3B8,RA999999,,,CA-ON,ACTIVE,ISSUED,2021-10-09T20:50:15+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
76,254900GOZQV4IXFRJZ14,Cidel Credit Opportunities Fund,,,CA-ON,CA,M4W 3B8,CA-ON,CA,M4W 3B8,RA999999,,,CA-ON,ACTIVE,ISSUED,2021-10-09T20:46:46+00:00,ENTITY_SUPPLIED_ONLY,RA999999,
77,25490082XCUFH6NCG151,LGP Limited Partnership,,,US-MA,US,2464,US-MA,US,2464,RA000613,,L95496398,US-MA,ACTIVE,ISSUED,2021-10-09T20:42:34+00:00,FULLY_CORROBORATED,RA000613,L95496398
78,254900Q4R13ISFMB0G81,571 Worcester Road LLC,,,US-MA,US,2464,US-MA,US,2464,RA000613,,1453397,US-MA,ACTIVE,ISSUED,2021-10-09T20:42:34+00:00,FULLY_CORROBORATED,RA000613,1453397
79,254900Z06CR8O836WV17,"Fierce Whiskers Distillery, LLC",,,US-TX,US,78702,US-TX,US,78742,RA000637,,802287047,US-TX,ACTIVE,ISSUED,2021-10-09T20:26:29+00:00,PARTIALLY_CORROBORATED,RA000637,802287047
80,254900HIF7ITQ50VXL77,Sundial Production House Ltd,,,,GB,B61 8DN,,GB,B61 8DN,RA000585,,11788852,GB,ACTIVE,ISSUED,2021-10-09T20:24:42+00:00,FULLY_CORROBORATED,RA000585,11788852
81,254900V50Y61UDKMRF04,"Braden Municipal Drive, LLC",,,US-IN,US,46038,US-IN,US,46038,RA000609,,2.02E+12,US-IN,ACTIVE,ISSUED,2021-10-09T20:17:50+00:00,FULLY_CORROBORATED,RA000609,2.02E+12
82,254900B3XOCJJR5GS647,FONDO MUTUO COMPASS INVESTMENT GRADE LATAM,,,CL-RM,CL,7561211,CL-RM,CL,7561211,RA888888,COMISIÓN PARA EL MERCADO FINANCIERO,9345-9,CL,ACTIVE,ISSUED,2021-10-09T20:13:04+00:00,PARTIALLY_CORROBORATED,RA888888,9345-9
83,2549007VKW7G5TGVRO12,"Central Park 101, LLC",,,US-NY,US,11229,US-NY,US,11229,RA000628,,5426022,US-NY,ACTIVE,ISSUED,2021-10-09T20:11:30+00:00,FULLY_CORROBORATED,RA000628,5426022
84,254900O5Y4FQOCCXPE73,COMPASS LATAM EQUITY FONDO DE INVERSION,,,CL-RM,CL,7561211,CL-RM,CL,7561211,RA888888,COMISIÓN PARA EL MERCADO FINANCIERO,9522-2,CL,ACTIVE,ISSUED,2021-10-09T20:08:22+00:00,PARTIALLY_CORROBORATED,RA888888,9522-2
85,25490037QXSL1KPY7C97,COMPASS PERÚ FONDO DE INVERSION,,,CL-RM,CL,7561211,CL-RM,CL,7561211,RA888888,COMISIÓN PARA EL MERCADO FINANCIERO,9174-K,CL,ACTIVE,ISSUED,2021-10-09T20:02:18+00:00,PARTIALLY_CORROBORATED,RA888888,9174-K
86,2549009ZNV6DQX7KWB24,COMPASS GLOBAL DEBT FONDO DE INVERSIÓN,,,CL-RM,CL,7561211,CL-RM,CL,7561211,RA888888,COMISIÓN PARA EL MERCADO FINANCIERO,9094,CL,ACTIVE,ISSUED,2021-10-09T19:51:35+00:00,PARTIALLY_CORROBORATED,RA888888,9094
87,2549000KCP5HOR2DQ630,Lendia Invest OÜ,,,EE-37,EE,11911,EE-37,EE,11911,RA000181,,16072094,EE,ACTIVE,ISSUED,2021-10-09T19:44:27+00:00,FULLY_CORROBORATED,RA000181,16072094
88,254900FZT34H1FNW7M49,Dogan Online Limited,,,,GB,W1S 4NH,,GB,W1S 4NH,RA000585,,12848149,GB,ACTIVE,ISSUED,2021-10-09T19:31:47+00:00,FULLY_CORROBORATED,RA000585,12848149
89,254900DWZPH83MC7E556,BATLIVALA AND KARANI PORTFOLIO ADVISORY SERVICES PRIVATE LIMITED,,,IN-WB,IN,700001,IN-WB,IN,700001,RA000394,,U74899WB1991PTC217838,IN,ACTIVE,ISSUED,2021-10-09T19:30:05+00:00,FULLY_CORROBORATED,RA000394,U74899WB1991PTC217838
90,2549009NM4BON2YKO764,"Physicians Partnership, LLP",,,US-FL,US,33803,US-FL,US,33803,RA000603,,GP1900000791,US-FL,ACTIVE,ISSUED,2021-10-09T19:27:50+00:00,FULLY_CORROBORATED,RA000603,GP1900000791
91,254900EO02J1BXHQUU05,Bengtsson Consulting AB,,,SE-U,SE,725 92,SE-U,SE,725 92,RA000544,,556961-4083,SE,ACTIVE,ISSUED,2021-10-09T19:01:29+00:00,FULLY_CORROBORATED,RA000544,556961-4083
92,254900QOINF1FJQ27E19,SCI SOUTH CAPITAL INVESTMENT FUND,,,CY-02,CY,3020,CY-02,CY,3020,RA000161,,Σ 12782,CY,ACTIVE,ISSUED,2021-10-09T18:58:32+00:00,FULLY_CORROBORATED,RA000161,Σ 12782
93,2549005T2AG02G5GTP34,RJJ Group Ltd.,,,MY-15,MY,87000,MY-15,MY,87000,RA000440,,LL15046,MY,ACTIVE,ISSUED,2021-10-09T18:54:47+00:00,FULLY_CORROBORATED,RA000440,LL15046
94,254900V78DQWGCUR9U80,Red Pine Capital,,,,ZA,2196,,ZA,2196,RA000531,,2014/220311/07,ZA,ACTIVE,ISSUED,2021-10-09T18:50:22+00:00,FULLY_CORROBORATED,RA000531,2014/220311/07
95,254900ABS4J8OFA0E188,BPI (China) Holdings Limited,,,,HK,,,HK,,RA000388,,2683786,HK,ACTIVE,ISSUED,2021-10-09T18:38:17+00:00,FULLY_CORROBORATED,RA000388,2683786
96,254900CVJCTQT5407N26,Akkadian Investment Management LLC,,,US-DE,US,19904,US-PA,US,19041,RA000602,,7946718,US-DE,ACTIVE,ISSUED,2021-10-09T18:28:53+00:00,PARTIALLY_CORROBORATED,RA000602,7946718
97,2549003392V0VXDGBN51,Timmoo Pty Ltd,,,AU-QLD,AU,4001,AU-QLD,AU,4001,RA000014,,613 478 292,AU,ACTIVE,ISSUED,2021-10-09T18:21:07+00:00,PARTIALLY_CORROBORATED,RA000014,613 478 292
98,254900ZHFEM9QEW9M928,Chesworth Estates Limited,,,,GB,PR2 9ZB,,GB,PR2 9ZB,RA000585,,7288640,GB,ACTIVE,ISSUED,2021-10-09T18:17:38+00:00,FULLY_CORROBORATED,RA000585,7288640
99,25490041QTUGZMLUU320,"TMF Stone Brooke Holdings, LLC",,,US-DE,US,19801,US-TX,US,75035,RA000602,,3771660,US-DE,ACTIVE,ISSUED,2021-10-09T18:12:16+00:00,PARTIALLY_CORROBORATED,RA000602,3771660
100,254900MRFI5HRHTX0219,HARINVEST AS,,,NO-12,NO,5397,NO-12,NO,5397,RA000472,,950 398 043,NO,ACTIVE,ISSUED,2021-10-09T17:56:25+00:00,FULLY_CORROBORATED,RA000472,950 398 043
101,254900091JUJ879J3O83,QEEP NORGE AS KONKURSBO,,,NO-02,NO,1397,NO-02,NO,1397,RA000472,,825 591 362,NO,ACTIVE,ISSUED,2021-10-09T17:56:24+00:00,FULLY_CORROBORATED,RA000472,825 591 362
102,254900X6PQICNWKD4E98,J-C-B ApS,,,DK-85,DK,2670,DK-85,DK,2670,RA000170,,35032193,DK,ACTIVE,ISSUED,2021-10-09T17:56:23+00:00,FULLY_CORROBORATED,RA000170,35032193
